Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Conference,Book,Source,Inventors,Patent office,Patent number,Application number,Institution
Delineation and analysis of seismocardiographic systole and diastole profiles,"F Courvoisier, MK Bhuyan, P Lacourt, M Jacquot, L Furfaro, JM Dudley",,,,,,"The use of nondiffracting femtosecond Bessel beams has recently been shown to be a powerful new approach for writing nanometer and micrometer surface features in glass. In this paper we review our recent experimental results in this area. The advantages of Bessel beams in yielding non-critical sample positioning and for fabricating high aspect ratio microchannels will be discussed in detail, and the underlying physical mechanisms involving plasma channel formation and filament formation will also be considered.",0,"Material nanoprocessing with nondiffracting femtosecond Bessel beams
F Courvoisier, MK Bhuyan, P Lacourt, M Jacquot… - 2010 12th International Conference on Transparent …",{},,,2010 12th International Conference on Transparent Optical Networks,,,,,,
A novel algorithm for shot boundary detection and segmentation of broadcast news videos,"Shabbir Ahmed, Rikiya Ando, Manas K Bhuyan, Yun Shiow Chen, Sayontan Chowdhury, Md Hasanuzzaman, Akira Hasegawa, Makoto Hasegawa, Hasnain Heickal, Chieko Hiramatsu, Hiroaki Hirata, Lei Huang, Yusuke Ikematsu, Naohiro Ishii, Tanzir Islam Pial, Eishun Ito, Nobuhiro Ito, Yuji Iwahori, Eizaburo Iwata, Kazunori Iwata, Yasuji Katase, Masashi Kawaguchi, Taishun Kusaka, Peerawut Luengruengroj, Yuki Miyamoto, Kenji Miyoshi, Saori Nakamura, Toyoshiro Nakashima, Kakeru Narita, Takahito Niwa, Yusuke Niwa, Kenji Nozaki, Akihiro Ogino, Toshihiro Ozaki, Tadachika Ozono, Manop Phankokkruad, Manvi Seth, Shogo Shimizu, Yamato Shinohara, Toramatsu Shintani, Michael Manuel Smith, Kazuya Sugawara, Taratip Suwannasart, Makoto Takamatsu, Shunki Takami, Makoto Takizawa, Tsuyoshi Tomioka, Ippei Torii, Yuta Uenoyama, Masayoshi Umeno, Sirirat Wacharawichanant, Aili Wang, Yuki Yasui, Yuya Yokoyama, Shunki Yuge",,,,,,"Author Index Toggle navigation IEEE Computer Society Digital Library Jobs Tech News Resource Center Press Room Advertising About Us IEEE IEEE Computer Society IEEE Computer Society Digital Library My Subscriptions Magazines Journals Conference Proceedings Institutional Subscriptions IEEE IEEE Computer Society More Jobs Tech News Resource Center Press Room Advertising About Us Cart All Advanced Search Conference Cover Image Download 1.Home 2.Proceedings 3.csii 2018 Author Index 2018, pp. 173-173, DOI Bookmark: 10.1109/CSII.2018.00037 Keywords Authors Author IndexAhmed, Shabbir 66Ando, Rikiya 43Bhuyan, Manas K. 60Chen, Yun Shiow 55Chowdhury, Sayontan 49Hasanuzzaman, Md. 49Hasegawa, Akira 78Hasegawa, Makoto 90Hawlader, Md. Shiplu 49Heickal, Hasnain 49, 66Hiramatsu, Chieko 15Hirata, Hiroaki 160Hochin, Teruhisa 96, 102, 108, 114, 121, 127, 133, …",0,"Nunome, Atsushi 160 Odagiri, Kazuya 1 Ogagiri, Kazuya 84
S Ahmed, R Ando, MK Bhuyan, YS Chen…
All 2 versions",{},,,,,,,,,
Image specific discriminative feature extraction for skin segmentation,MK Bhuyan,,Optics Express,566.0,,,,10,"High aspect ratio taper-free microchannel fabrication using femtosecond Bessel beams, Jan. 18, 2010/vol. 18, No. 2
MK Bhuyan - Optics Express
Cited by 10 Related articles","{'2016': 1, '2017': 5, '2018': 1, '2019': 3}",,,,,,,,,
Study on production and extraction of negative impurity ions in a caesiated negative ion source,"PK Bhunya, AJ Adeloye, MK Bhuyan, Joygopal Jena, SOA ITER",,,,,,"A rainfall-runoff simulation model, based on a modified non-linear reservoir, is presented. The existing dynamic equation where storage in a catchment is defined as a function of only runoff is modified by introduction of a time lag parameter, which simplifies the equation to an explicit form. The method uses adjusted runoff (product of a coefficient and runoff) as a variable with accumulated storage with a time lag to establish a rainfall-runoff relationship. The performance of the model is tested on short-term rainfall and runoff data of two Indian catchments, and published data of Wills Creek and Shoal Creek. The coefficient of determination R 2 for the plot of runoff (QD) versus Storage S (t-τ) ranges from 0.83 to 0.975. The coefficient of the present non linear model defines against the storm magnitude and the R 2 value reaches up to 0.72. Further, the estimated flood hydrographs using the present approach are compared with the Nash (1959) model, and with the results given by optimization model of Mays and Taur (1982) and Prasad et al.(1999). The STDER values associated with the present nonlinear model are 4.4 and 79.8 for two study areas respectively, which are less compared to other approaches of Nash (1959), Mays & Taur (1982), Prasad et al.(1999)",0,"A Simple Non-Linear Rainfall-Runoff Model for Small Catchments
PK Bhunya, AJ Adeloye, MK Bhuyan, J Jena…
Related articles All 2 versions",{},,,,,,,,,
Design of breathing-states detector for m-health platform using seismocardiographic signal,,,,,,,,0,,{},,,,,,,,,
Semantic segmentation based hand gesture recognition using deep neural networks,"A Bora, MK Bhuyan, T Bezboruah",,,,,,"Scientific collaboration for supporting environmental and agricultural research is essential from the perspective of researchers as well as farmers. As such we have designed and implemented a web service based collaborative system to study the feasibility for suitability of such a system. We called it WebEAR (web service collaborator for environmental and agricultural research). The WebEAR is based on Java Technology. The system allows the user to get the collaborative information from the geographically separated research laboratories working in the field of environmental and agricultural study. Here we will present in details the architecture of the WebEAR, its testing procedure and the result of different testing performed on the WebEAR.",0,"“Department of Electronics & Communication Technology, Gauhati University, Guwahati-781014, Assam, INDIA
A Bora, MK Bhuyan, T Bezboruah
Related articles All 2 versions",{},,,,,,,,,
Mediastinal Lymph Node Detection using Deep Learning.,"Barik Aloka, Bastia Bijayalaxmi, DN Basu, Behera Nirupama, Behera Prakash, Behera Suparna, J Bhoi, Bhoi Krishnamayee, Bhoi Siddharta, Bhoi Swagatika, M Bhuyan, Biswal Barsarani, Biswal Geetanjali, KKJ Chakravarthi, G Chaudhuri, Dani Swatilina, GN Dash, Dash Namita, Dash Subhashree, JN De, G Deb Anil, Debata Suryakanti, PL Deepti, Deheri Anupama, S Dhurua Satyabrata, Doki Taswina, Ghosh Shiva Prasad, Ghugar Tikeswar, S Ghugre, SS Godre, Guru Bikrant, M Hemalatha, Hui Souvanik, Firdosh Jahan",,,,,,"List of Participants Page 1 List of Participants Agrawal Bijay, Saha Institute of Nuclear Physics, Kolkata Auromun Krishna, School of Physics, Sambalpur University Bag Sasmitarani, School of Physics, Sambalpur University Baral Nrusingh, School of Physics, Sambalpur University Barik Aloka, School of Physics, Sambalpur University Bastia Bijayalaxmi, School of Physics, Sambalpur University Basu DN, Variable Energy Cyclotron Centre, Kolkata Behera Nirupama, School of Physics, Sambalpur University Behera Prakash, School of Physics, Sambalpur University Behera Suparna, School of Physics, Sambalpur University Bhoi J, Department of Physics, National Institute of Technology, Jamshedpur Bhoi Krishnamayee, School of Physics, Sambalpur University Bhoi Siddharta, School of Physics, Sambalpur University Bhoi Swagatika, School of Physics, Sambalpur University Bhuyan M, Institute of Physics, Bhubaneswar …",0,"Agrawal Bijay, Saha Institute of Nuclear Physics, Kolkata Auromun Krishna, School of Physics, Sambalpur University Bag Sasmitarani, School of Physics, Sambalpur University Baral Nrusingh, School of Physics, Sambalpur University
B Aloka, B Bijayalaxmi, DN Basu, B Nirupama…
All 3 versions",{},,,,,,,,,
Colorectal polyp classification based on latent sharing features domain from multiple endoscopy images,"P Prem Kiran, S Bagchi, MK Bhuyan, M Krishnamurthy, G Ravindra Kumar",,,,,,"When an intense, femtosecond laser pulse interacts with matter, instantaneous ionization occurs producing free electrons which further absorbs energy by different collisional and collisionless absorption processes leading to form hot dense plasma, a rich source of x-rays,‘hot’electrons and fast energetic ions [1]. Some electrons because of their higher kinetic energy can break through the plasma creating a potential sheath layer by inducing a positive charge to quasineutral plasma [2]. This potential difference in the sheath layer pulls out ions from the plasma and accelerates them to higher energies in a very short time and lengthscale [3]. Evidently the most crucial role in this entire process is played by the ‘hot’electrons, which depends mainly on the efficient coupling of laser energy in to the plasma. In this paper, we address the issue of enhanced laser coupling to plasma as a route to achieve an efficient fast particle …",0,"Impact of periodic surface modulations on ion emission from intense, femtosecond laser produced plasmas
PP Kiran, S Bagchi, MK Bhuyan, M Krishnamurthy…
Related articles",{},,,,,,,,,
Interdependent Multi-task Learning for Simultaneous Segmentation and Detection.,"D Angom, PT Anusha, BC Anusionwu, M Archunan, V Arora, B Ashok, Awasthi Reena, MA Ayad, BRS Babu, MS Bhagat, Bhattacharjee Tumpa, Bhattacharya Sailajananda, I Bhaumik, Bhowmick Debasis, RK Bhowmik, MK Bhuyan, KS Bindra",,,,,,,0,,{},,,,,,,,,
Laser polishing of 3D printed metallic components: a review on surface integrity,"SC DAS, DR NATH, M BHUYAN, NG DAS, S HAZARIKA",,,,,,"Simuliumbreeding was eliminated in a river up to 30 km with 0.1 ppm Abate (temephos) for 30 min exposure. Teknar (Bacillus thuringiensis var. israeLensis) at 10 ppm for 10 min exposure resulted in 98.4 Vo and 87. 9% reduction up to 20 m in 2 sections of a small stream.
In India the abundance of Simuliurn spp.(locally known as dimdam flies) and their biting nuisance is well known in the northeastern region (Perti 1963). During the early sixties, susceptibility of Simulium. Iarvae to insecticides with small scale field trials using DDT and BHC were carried out in NEFA (North-East Frontier Agency-now Arunachal Pradesh) by Perti and Lopez (1964). Das et al.(1981) reported the susceptibility of Sim. ulium himalayense Puri larvae to certain insecticides in this area. Though Simulium or blackfly bites can be avoided by using selective insect repellents (Das et al. 1985), an effective control program must be based on larviciding the river systems. Temephos (Abate@) appears to be the larvicide of choice due to its biodegradable nature and low mammalian toxicity. In the present study the acute toxicity and carry of Abatel 500E and Teknar2 (Bacillus thuringiensis var. israelensis, serotype H-14) were studied and compared with the available data ofthe conventional insecticide DDT to obtain a better understanding of their true utilization.",0,"FIELD TRIAL OF ABATE@ AND TEKNAR@ FOP'SIMULIUM (DIPTERA: SIMULIIDAE) CONTROL IN INDIA
SC DAS, DR NATH, M BHUYAN, NG DAS…
Related articles All 2 versions",{},,,,,,,,,
