Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference,Source,Institution
Simulation of period-doubling behavior in distributed learning automata,"E Billard, S Lakshmivarahan",1998/2/27,,,,,"Dept. of Mathematics & Computer Science California State University Hayward, CA 94542 Email: billard@ csuhayward. edu",3,"Simulation of period-doubling behavior in distributed learning automata
E Billard, S Lakshmivarahan - Proceedings of the 1998 ACM symposium on Applied …, 1998
Cited by 3 Related articles All 3 versions",{},690-695,Proceedings of the 1998 ACM symposium on Applied Computing,,,
A Scalability Analysis of Large Code of Interest in Meteorology Using Experimental Design Techniques,"M Alabdulkareem, S Lakshmivarahan, SK Dhall",1997/4/6,Proceedings of the High Performance Computing,97,,,,3,"A Scalability Analysis of Large Code of Interest in Meteorology Using Experimental Design Techniques
M Alabdulkareem, S Lakshmivarahan, SK Dhall - Proceedings of the High Performance Computing, 1997
Cited by 3 Related articles",{},,,,,
Effect of data distribution in data assimilation using Burgers' equation,"Wanglung Chung, John M Lewis, S Lakshmivarahan, Sudarshan K Dhall",1997/4/1,,,,,In this paper we analyze the effect of data distribution on the quality of the estimate of the initial conditions using a class of methods of interest in meteorology called the variational data assimilation. We use the Burgers' equation in this discrete form using Lax scheme.,1,"Effect of data distribution in data assimilation using Burgers' equation
W Chung, JM Lewis, S Lakshmivarahan, SK Dhall - Proceedings of the 1997 ACM symposium on Applied …, 1997
Cited by 1 Related articles All 2 versions",{'2010': 1},521-526,Proceedings of the 1997 ACM symposium on Applied computing,,,
An -Time Algorithm for Finding a Minimum-Weight Dominating Set in a Permutation Graph,"C Rhee, Y. Daniel Liang, Sudarshan K. Dhall, S Lakshmivarahan",1996/4,SIAM Journal on Computing,25,2,Society for Industrial and Applied Mathematics,"Farber and Keil [Algorithmica, 4 (1989), pp. 221–236] presented an -time algorithm for finding a minimum-weight dominating set in permutation graphs. This result was improved to by Tsai and Hsu [SIGAL ’90 Algorithms, Lecture Notes in Computer Science, Springer-Verlag, New York, 1990, pp. 109–117] and to by the authors of this paper [Inform. Process. Lett., 37 (1991), pp. 219–224], respectively. In this paper, we introduce a new faster algorithm that takes only time to solve the same problem, where m is the number of edges in a graph of n vertices.",24,"An O(N+M)-Time Algorithm for Finding a Minimum-Weight Dominating Set in a Permutation Graph
C Rhee, YD Liang, SK Dhall, S Lakshmivarahan - SIAM Journal on Computing, 1996
Cited by 24 Related articles All 4 versions",{},404-419,,,,
A comparison of variational data assimilation and nudging using a simple dynamical system with chaotic behavior,"Wanglung Chung, John M Lewis, S Lakshmivarahan, Sudarshan K Dhall",1996/2/18,,,,,"The variational data assimilation method and an empirically based sequential updating method called"" nudging"" are tested. In this paper we compare the effectiveness of these two methods with respect to a simple non-linear dynamical system called the logistic model. This latter system exhibits a wide variety of asymptotic behavior including chaotic behavior and provides a good platform for our comparison.",2,"A comparison of variational data assimilation and nudging using a simple dynamical system with chaotic behavior
W Chung, JM Lewis, S Lakshmivarahan, SK Dhall - Proceedings of the 1996 ACM symposium on Applied …, 1996
Cited by 2 Related articles All 2 versions",{},454-462,Proceedings of the 1996 ACM symposium on Applied Computing,,,
The minimum weight dominating set problem for permutation graphs is in NC,"C Rhee, Sudarshan K. Dhall, S Lakshmivarahan",1995/8/1,Journal of Parallel and Distributed Computing,28,2,Academic Press,"In this paper, we show that the problem of finding a minimum weight dominating set in a permutation graph, where a positive weight is assigned to each vertex, is in NC by presenting an O(log n) parallel algorithm with polynomially many processors on the CRCW model.",15,"The minimum weight dominating set problem for permutation graphs is in NC
C Rhee, SK Dhall, S Lakshmivarahan - Journal of Parallel and Distributed Computing, 1995
Cited by 15 Related articles All 4 versions",{},109-112,,,,
Shortest path routing in a class of Cayley graphs of semi-direct product of finite groups,"F-L Wu, S Lakshmivarahan, SK Dhall",1995/3/28,,,,IEEE,"Recently R.N. Draper (1990) initiated the study of interconnection networks based on Cayley graphs of semi-direct products of two cyclic groups called supertoroids graphs. Interest in this class of graphs stems from their relatively smaller diameter compared to toroids of the same size. In this paper we described a deterministic, distributed, shortest path algorithm for routing in this class of networks.< >",2,"Shortest path routing in a class of Cayley graphs of semi-direct product of finite groups
FL Wu, S Lakshmivarahan, SK Dhall - … International Phoenix Conference on Computers and …, 1995
Cited by 2 Related articles All 2 versions",{},256-262,,Proceedings International Phoenix Conference on Computers and Communications,,
Optimal initialization of mixed-layer model using the adjoint technique,"Rachel Fiedler, S Lakshmivarahan, Sudarshan K Dhall, John M Lewis",1995/2/26,,,,,"In using deterministic models for weather forecasting, the quality of the forecast depends critically on the initial and/or boundary conditions and values of certain key parameters of interest to the model. Since the initial and/or boundary conditions and the key parameters control the quality of the forecask they are often known as control variables. In this paper we analyze the effectiveness of the so-called adjoint method for the optimal determination of control variables for a class of non-linear dynamical model, called the mixed-layer model. We illustrate the use of this method by assimilating the actual data collected in a cold air outflow over the Gulf of Mexico.",0,"Optimal initialization of mixed-layer model using the adjoint technique
R Fiedler, S Lakshmivarahan, SK Dhall, JM Lewis - Proceedings of the 1995 ACM symposium on Applied …, 1995
Related articles All 3 versions",{},91-95,Proceedings of the 1995 ACM symposium on Applied computing,,,
Parallel Computing Using the Prefix Problem,"S Lakshmivarahan, Sudarshan K Dhall, E Gallopoulos",1995,SIAM Review,37,4,"Philadelphia, Society for Industrial and Applied Mathematics.",,0,"Parallel Computing Using the Prefix Problem
S Lakshmivarahan, SK Dhall, E Gallopoulos - SIAM Review, 1995",{},626-627,,,,
Analysis of interconnection networks based on Cayley graphs of strong generating sets,"Jen-peng Huang, S Lakshmivarahan, Sudarshan K Dhall",1994/8/15,,1,,IEEE,"This paper describes a class of interconnection networks based on Cayley graph of (S_n, \Omega_CT)> where S_n is the symmetric group of degree n and order n! and \Omega_CT is the generator set consisting of all the n (n -1)/2 transpositions, called the complete transposition graph (CTG). A complete enumeration of a set of node disjoint paths for CTG is given which in turn implies that CTG has maximum fault-tolerance.",3,"Analysis of interconnection networks based on Cayley graphs of strong generating sets
J Huang, S Lakshmivarahan, SK Dhall - 1994 International Conference on Parallel Processing …, 1994
Cited by 3 Related articles All 5 versions",{},42-45,,1994 International Conference on Parallel Processing Vol. 1,,
